Apomyelois_bistriatella	ApoBist
Endotricha_flammealis	EndFlam
Hypsopygia_costalis	HypCost
Acentria_ephemerella	AceEphe
Parapoynx_stratiotata	ParStra
Calamotropha_paludella	CalPalu
Chrysoteuchia_culmella	ChrCulm
Agriphila_geniculea	AgrGeni
Agriphila_tristella	AgrTris
Drepana_falcataria	DreFalc
Watsonalla_binaria	WatBina
Habrosyne_pyritoides	HabPyri
Thyatira_batis	ThyBati
Saturnia_pavonia	SatPavo
Deilephila_porcellus	DeiPorc
Hemaris_fuciformis	HemFuci
Laothoe_populi	LaoPopu
Mimas_tiliae	MimTili
Ligdia_adustata	LigAdus
Macaria_notata	MacNota
Biston_betularia	BisBetu
Erannis_defoliaria	EraDefo
Peribatodes_rhomboidaria	PerRhom
Agriopis_aurantiaria	AgrAura
Agriopis_marginaria	AgrMarg
Apeira_syringaria	ApeSyri
Selenia_dentaria	SelDent
Alsophila_aescularia	AlsAesc
Campaea_margaritaria	CamMarg
Hylaea_fasciaria	HylFasc
Opisthograptis_luteolata	OpiLute
Crocallis_elinguaria	CroElin
Ennomos_fuscantarius	EnnFusc
Ennomos_quercinarius	EnnQuer
Idaea_aversata	IdaAver
Aplocera_efformata	AplEffo
Lobophora_halterata	LobHalt
Gymnoscelis_rufifasciata	GymRufi
Eupithecia_centaureata	EupCent
Eupithecia_abbreviata	EupAbbr
Eupithecia_dodoneata	EupDodo
Eupithecia_exiguata	EupExig
Eupithecia_vulgata	EupVulg
Operophtera_brumata	OpeBrum
Philereme_vetulata	PhiVetu
Hydriomena_furcata	HydFurc
Xanthorhoe_spadicearia	XanSpad
Ecliptopera_silaceata	EclSila
Eulithis_prunata	EulPrun
Electrophaes_corylata	EleCory
Chloroclysta_siterata	ChlSite
Thera_britannica	TheBrit
Clostera_curtula	CloCurt
Furcula_furcula	FurFurc
Phalera_bucephala	PhaBuce
Pheosia_gnoma	PheGnom
Pheosia_tremula	PheTrem
Ptilodon_capucinus	PtiCapu
Notodonta_dromedarius	NotDrom
Notodonta_ziczac	NotZicz
Meganola_albula	MegAlbu
Nycteola_revayana	NycReva
Lymantria_monacha	LymMona
Euproctis_similis	EupSimi
Orgyia_antiqua	OrgAnti
Catocala_fraxini	CatFrax
Euclidia_mi	EucMi
Schrankia_costaestrigalis	SchCost
Laspeyria_flexula	LasFlex
Trisateles_emortualis	TriEmor
Hypena_proboscidalis	HypProb
Herminia_tarsipennalis	HerTars
Phragmatobia_fuliginosa	PhrFuli
Spilosoma_lubricipeda	SpiLubr
Spilarctia_lutea	SpiLute
Miltochrista_miniata	MilMini
Cybosia_mesomella	CybMeso
Eilema_depressum	EilDepr
Eilema_sororculum	EilSoro
Abrostola_tripartita	AbrTrip
Diachrysia_chrysitis	DiaChry
Autographa_gamma	AutGamm
Autographa_pulchrina	AutPulc
Protodeltote_pygarga	ProPyga
Allophyes_oxyacanthae	AllOxya
Craniophora_ligustri	CraLigu
Acronicta_psi	AcrPsi
Acronicta_aceris	AcrAcer
Acronicta_leporina	AcrLepo
Xylocampa_areola	XylAreo
Amphipyra_berbera	AmpBerb
Amphipyra_tragopoginis	AmpTrag
Spodoptera_exigua	SpoExig
Spodoptera_frugiperda	SpoFruge
Caradrina_clavipalpis	CarClav
Anorthoa_munda	AnoMund
Tholera_decimalis	ThoDeci
Hecatera_dysodea	HecDyso
Mamestra_brassicae	MamBras
Mythimna_impura	MytImpu
Mythimna_albipuncta	MytAlbi
Mythimna_ferrago	MytFerr
Agrotis_puta	AgrPuta
Ochropleura_plecta	OchPlec
Diarsia_rubi	DiaRubi
Noctua_pronuba	NocPron
Noctua_fimbriata	NocFimb
Noctua_janthe	NocJant
Xestia_c-nigrum	XesCnig
Xestia_sexstrigata	XesSexs
Xestia_xanthographa	XesXant
Euplexia_lucipara	EupLuci
Phlogophora_meticulosa	PhlMeti
Atethmia_centrago	AteCent
Cosmia_pyralina	CosPyra
Cosmia_trapezina	CosTrap
Eupsilia_transversa	EupTran
Omphaloscelis_lunosa	OmpLuno
Agrochola_circellaris	AgrCirc
Agrochola_macilenta	AgrMaci
Brachylomia_viminalis	BraVimi
Dryobotodes_eremita	DryErem
Griposia_aprilina	GriApri
Aporophyla_lueneburgensis	ApoLuen
Apamea_monoglypha	ApaMono
Apamea_sordens	ApaSord
Amphipoea_oculea	AmpOcul
Hydraecia_micacea	HydMica
Luperina_testacea	LupTest
Mesoligia_furuncula	MesFuru
